Category	Gene	Locus	Evidence 
asd_implicated	ADSL	22q13.1	Adenylosuccinate lyase deficiency (autosomal recessive) 
asd_implicated	AFF2	Xq28	nonsyndromic XLMR 
asd_implicated	AHI1	6q23.3	Joubert syndrome (autosomal recessive) 
asd_implicated	ARX	Xp21	large spectrum of MR phenotypes: X_linked lissencephaly and abnormal genitalia, West syndrome, 
asd_implicated	ATRX	Xq21.1	large spectrum of phenotypes, including ATRX syndrome and nonsyndromic XLMR 
asd_implicated	C3orf58	3q24	DIA1 (Deleted in Autism), rare homozygous deletions 
asd_implicated	CACNA1C	12p13.3	Timothy syndrome 
asd_implicated	CDKL5	Xp22	Rett like syndrome with infanAle spasms 
asd_implicated	CHD7	8q12.2	CHARGE syndrome 
asd_implicated	CNTNAP2	7q36.1	Cortical dysplasia_focal epilepsy syndrome 
asd_implicated	CREBBP	16p13.3	Rubinstein_Taybi syndrome 
asd_implicated	DHCR7	11q13.2-q13.5	Smith_Lemli_OpAz syndrome 
asd_implicated	DMD	Xp21.2	Muscular dystrophy, Duchenne and Becker types 
asd_implicated	DMPK	19q13.3	Myotonic dystrophy type 1 
asd_implicated	FGD1	Xp11.21	Aarskog_Scott syndrome, nonsyndromic XLMR 
asd_implicated	FMR1	Xq27.3	Fragile X mental retardation 1, ASD 
asd_implicated	IL1RAPL1	Xp22.1-p21.3	ASD, nonsyndromic XLMR 
asd_implicated	MECP2	Xq28	Rett syndrome, syndromic and nonsyndromic XLMR, neonatal encephalopathy (in males) 
asd_implicated	NF1	17q11.2	neurofibromatosis type 1, NF1 microdeletion/microduplication syndrome 
asd_implicated	NIPBL	5p13.2	Cornelia de Lange syndrome 
asd_implicated	NLGN3	Xq13.1	ASD, nonsyndromic XLMR 
asd_implicated	NLGN4X	Xp22.32-p22.31	ASD, nonsyndromic XLMR 
asd_implicated	NRXN1	2p16.3	disrupted in ASD, MR, schizophrenia 
asd_implicated	NSD1	5q35.3	Sotos syndrome 
